invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,dob
I138884,C241288,FEMALE,28,CLOTHING,5,1500.40,CREDIT CARD,2022-08-05,Kanyon,1998-02-05
I173702,C988172,FEMALE,66,SHOES,5,3000.85,CREDIT CARD,2021-05-16,Metropol AVM,1960-02-05
I337046,C189076,FEMALE,53,BOOKS,4,60.60,CASH,2021-10-24,Kanyon,1973-02-05
I227836,C657758,FEMALE,28,CLOTHING,5,1500.40,CREDIT CARD,2022-05-24,Forum Istanbul,1998-02-05
I121056,C151197,FEMALE,49,COSMETICS,1,40.66,CASH,2022-03-13,Istinye Park,1977-02-05
I293112,C176086,FEMALE,32,CLOTHING,2,600.16,CREDIT CARD,2021-01-13,Mall of Istanbul,1994-02-05
I326945,C283361,FEMALE,60,CLOTHING,2,600.16,CREDIT CARD,2021-08-22,Kanyon,1966-02-05
I306368,C240286,FEMALE,36,FOOD & BEVERAGE,2,10.46,CASH,2022-12-25,Metrocity,1990-02-05
I139207,C191708,FEMALE,29,BOOKS,1,15.15,CREDIT CARD,2022-10-28,Emaar Square Mall,1997-02-05
I640508,C225330,FEMALE,67,TOYS,4,143.36,DEBIT CARD,2022-07-31,Metrocity,1959-02-05
I336189,C555402,FEMALE,67,CLOTHING,2,600.16,CREDIT CARD,2022-06-03,Kanyon,1959-02-05
I195744,C330667,FEMALE,42,FOOD & BEVERAGE,3,15.69,CREDIT CARD,2022-01-05,Zorlu Center,1984-02-05
I993048,C218149,FEMALE,46,CLOTHING,2,600.16,CASH,2021-07-26,Metropol AVM,1980-02-05
I412481,C125696,FEMALE,27,FOOD & BEVERAGE,1,5.23,CASH,2021-05-01,Cevahir AVM,1999-02-05
I174250,C204553,FEMALE,42,BOOKS,5,75.75,CASH,2022-12-16,Metrocity,1984-02-05
I196704,C289625,FEMALE,25,COSMETICS,5,203.30,CREDIT CARD,2022-04-20,Mall of Istanbul,2001-02-05
I655874,C447138,FEMALE,65,SHOES,3,1800.51,CASH,2022-08-23,Cevahir AVM,1961-02-05
I161949,C159164,FEMALE,66,TOYS,3,107.52,DEBIT CARD,2022-07-04,Mall of Istanbul,1960-02-05
I768348,C176727,FEMALE,32,SHOES,3,1800.51,CREDIT CARD,2022-02-23,Kanyon,1994-02-05
I167211,C164092,FEMALE,66,SHOES,4,2400.68,CREDIT CARD,2022-08-30,Zorlu Center,1960-02-05
I187519,C450287,FEMALE,59,CLOTHING,2,600.16,CREDIT CARD,2022-07-08,Metrocity,1967-02-05
I246550,C716788,FEMALE,49,FOOD & BEVERAGE,3,15.69,CASH,2021-09-10,Zorlu Center,1977-02-05
I752693,C306662,FEMALE,48,COSMETICS,3,121.98,CASH,2022-04-28,Metrocity,1978-02-05
I826174,C607615,FEMALE,40,SHOES,4,2400.68,CASH,2022-06-20,Metrocity,1986-02-05
I296025,C120164,FEMALE,41,SHOES,3,1800.51,CREDIT CARD,2022-04-21,Kanyon,1985-02-05
I267193,C317818,FEMALE,19,COSMETICS,3,121.98,CREDIT CARD,2023-01-12,Mall of Istanbul,2007-02-05
I205366,C241642,FEMALE,43,CLOTHING,4,1200.32,DEBIT CARD,2022-11-07,Zorlu Center,1983-02-05
I304265,C653385,FEMALE,22,BOOKS,5,75.75,DEBIT CARD,2021-06-13,Forum Istanbul,2004-02-05
I246562,C227070,FEMALE,61,COSMETICS,5,203.30,CASH,2021-08-23,Emaar Square Mall,1965-02-05
I202367,C317478,FEMALE,41,BOOKS,3,45.45,CASH,2023-02-24,Istinye Park,1985-02-05
I664787,C237330,FEMALE,53,COSMETICS,2,81.32,CREDIT CARD,2023-01-12,Istinye Park,1973-02-05
I160777,C626042,FEMALE,43,TECHNOLOGY,4,4200.00,CASH,2022-02-22,Metrocity,1983-02-05
I137794,C133687,FEMALE,45,FOOD & BEVERAGE,3,15.69,DEBIT CARD,2021-03-12,Viaport Outlet,1981-02-05
I148377,C841663,FEMALE,29,CLOTHING,1,300.08,CASH,2022-01-02,Istinye Park,1997-02-05
I300213,C962515,FEMALE,19,CLOTHING,4,1200.32,CREDIT CARD,2021-04-21,Kanyon,2007-02-05
I263803,C112279,FEMALE,67,FOOD & BEVERAGE,3,15.69,CASH,2021-06-23,Kanyon,1959-02-05
I335713,C158837,FEMALE,36,BOOKS,4,60.60,CASH,2021-12-14,Kanyon,1990-02-05
I207205,C716161,FEMALE,33,CLOTHING,1,300.08,DEBIT CARD,2021-11-26,Kanyon,1993-02-05
I209289,C439382,FEMALE,33,CLOTHING,4,1200.32,CREDIT CARD,2021-02-05,Kanyon,1993-02-05
